type, value, quantity, info,
capacitor, 22pf, 1, 5% ceramic,
capacitor, 100pf, 2, 5% ceramic,
capacitor, 220pf, 2, 5% polystyrene,
capacitor, 100nf, 4, 5% ceramic,
capacitor, 100nf, 2, 63v polyester,
capacitor, 10uf, 2, 50v electrolytic,
connector, 16-pin, 1, ic socket,
connector, 8-pin, 1, ic socket,
connector, 14-pin, 1, ic socket,
connector, kk396 4-way locking header, 1, power connector,
connector, kk396 4-way crimp housing, 1, power connector,
connector, kk396 crimp, 4, power connector,
chip, lm13700, 1, dual ota,
chip, lm3900, 1, quad norton amp,
chip, tl071, 1, jfet opamp,
inductor, 0.45uh, 2, 7A ferrite bead,
resistor, 330r, 3, 1% 0.5w metal film,
resistor, 470r, 4, 1% 0.5w metal film,
resistor, 2k2, 2, 1% 0.5w metal film,
resistor, 3k3, 2, 1% 0.5w metal film,
resistor, 4k7, 1, 1% 0.5w metal film,
resistor, 15k, 1, 1% 0.5w metal film,
resistor, 18k, 1, 1% 0.5w metal film,
resistor, 22k, 5, 1% 0.5w metal film,
resistor, 33k, 3, 1% 0.5w metal film,
resistor, 68k, 8, 1% 0.5w metal film,
resistor, 100k, 1, 1% 0.5w metal film,
resistor, 330k, 2, 1% 0.5w metal film,
resistor, 470k, 2, 1% 0.5w metal film,
resistor, 1m0, 3, 1% 0.5w metal film,
resistor, 3m3, 1, 1% 0.5w metal film,
resistor, 8m2, 1, 5% 0.5w metal film,
resistor, 22m, 2, 5% 0.25w metal glazed,
transistor, 2n3906, 2, pnp transistor,
transistor, j201, 2, jfet,
transistor, bc560c, 2, pnp transistor,
trimpot, 20k, 1, 25tv cermet,
socket, white banana socket, 3,,
socket, blue banana socket, 1,,
socket, black banana socket, 1,,
potentiometer, 50k log, 1,,
potentiometer, 100k linear, 3,,
switch, dpdt on-on,1,might be fine with on-off,
